Transaction Date,Type,Order,Card Brand,Card Source,Payout Status,Payout Date,Available On,Amount,Fee,Net,Checkout,Payment Method Name,Presentment Amount,Presentment Currency,Currency
2025-11-05 12:01:09 -0500,refund,#40476,visa,online,paid,2025-11-07,2025-11-07,-30.05,0.00,-30.05,#38090757013761,card,30.05,USD,USD
2025-11-05 09:55:53 -0500,refund,#40375,visa,online,paid,2025-11-07,2025-11-06,-67.90,0.00,-67.90,#38087505608961,card,67.90,USD,USD
2025-11-05 00:05:48 -0500,shop_cash_credit,#40539,unknown,online,paid,2025-11-07,2025-11-05,15.00,0.37,14.63,,,,,USD
2025-11-04 21:29:20 -0500,marketplace sales tax,#40560,unknown,online,paid,2025-11-07,2025-11-05,-9.52,0.00,-9.52,,,,,USD
2025-11-04 19:03:31 -0500,marketplace sales tax,#40539,unknown,online,paid,2025-11-07,2025-11-05,-3.78,0.00,-3.78,,,,,USD
2025-11-04 19:03:10 -0500,shop_cash_campaign_billing_debit,#40539,unknown,online,paid,2025-11-07,2025-11-05,-27.00,0.00,-27.00,,,,,USD
2025-11-04 18:58:25 -0500,charge,#40536,american_express,online,paid,2025-11-07,2025-11-07,28.25,1.22,27.03,#38060178800897,card,28.25,USD,USD
2025-11-04 18:37:23 -0500,charge,#40534,visa,online,paid,2025-11-07,2025-11-07,28.25,1.05,27.20,#38091953799425,card,28.25,USD,USD
2025-11-04 18:11:07 -0500,charge,#40532,visa,online,paid,2025-11-07,2025-11-07,76.13,4.79,71.34,#38091884036353,shop_pay_installments,76.13,USD,USD
2025-11-04 18:06:27 -0500,shop_cash_credit,#40487,unknown,online,paid,2025-11-07,2025-11-04,15.00,0.37,14.63,,,,,USD
2025-11-04 18:06:27 -0500,shop_cash_credit,#40526,unknown,online,paid,2025-11-07,2025-11-04,15.68,0.39,15.29,,,,,USD
2025-11-04 17:52:23 -0500,charge,#40531,visa,online,paid,2025-11-07,2025-11-07,41.94,1.41,40.53,#38091838324993,card,41.94,USD,USD
2025-11-04 17:48:59 -0500,charge,#40530,master,online,paid,2025-11-07,2025-11-07,205.62,5.75,199.87,#38091836555521,card,205.62,USD,USD
2025-11-04 17:19:27 -0500,charge,#40529,visa,online,paid,2025-11-07,2025-11-07,114.78,3.34,111.44,#38091763220737,card,114.78,USD,USD
2025-11-04 17:03:52 -0500,charge,#40528,master,online,paid,2025-11-07,2025-11-07,70.97,2.18,68.79,#38091722195201,card,70.97,USD,USD
2025-11-04 16:54:56 -0500,charge,#40527,visa,online,paid,2025-11-07,2025-11-07,90.16,2.69,87.47,#38091704041729,card,90.16,USD,USD
2025-11-04 16:49:21 -0500,charge,#40280,unknown,online,paid,2025-11-07,2025-11-07,103.53,2.89,100.64,#38084093214977,card,103.53,USD,USD
2025-11-04 16:34:38 -0500,marketplace sales tax,#40526,unknown,online,paid,2025-11-07,2025-11-04,-2.96,0.00,-2.96,,,,,USD
